,year,pop,lifeexp,gdppercap,country,continent
0,1952.0,8425333.0,28.801,779.4453145,afghanistan,asia
1,1957.0,9240934.0,30.331999999999997,820.8530296,afghanistan,asia
2,1962.0,10267083.0,31.997,853.1007099999999,afghanistan,asia
3,1967.0,11537966.0,34.02,836.1971382,afghanistan,asia
4,1972.0,13079460.0,36.088,739.9811057999999,afghanistan,asia
5,1977.0,14880372.0,38.438,786.11336,afghanistan,asia
6,1982.0,12881816.0,39.854,978.0114388000001,afghanistan,asia
7,1987.0,13867957.0,40.821999999999996,852.3959447999999,afghanistan,asia
8,1992.0,16317921.0,41.674,649.3413952000001,afghanistan,asia
9,1997.0,22227415.0,41.763000000000005,635.341351,afghanistan,asia
10,2002.0,25268405.0,42.129,726.7340548,afghanistan,asia
11,2007.0,31889923.0,43.828,974.5803384,afghanistan,asia
12,1952.0,1282697.0,55.23,1601.056136,albania,europe
13,1957.0,1476505.0,59.28,1942.2842440000002,albania,europe
14,1962.0,1728137.0,64.82,2312.888958,albania,europe
15,1967.0,1984060.0,66.22,2760.196931,albania,europe
16,1972.0,2263554.0,67.69,3313.422188,albania,europe
17,1977.0,2509048.0,68.93,3533.0039100000004,albania,europe
18,1982.0,2780097.0,70.42,3630.880722,albania,europe
19,1987.0,3075321.0,72.0,3738.9327350000003,albania,europe
20,1992.0,3326498.0,71.581,2497.4379010000002,albania,europe
21,1997.0,3428038.0,72.95,3193.054604,albania,europe
22,2002.0,3508512.0,75.65100000000001,4604.211737,albania,europe
23,2007.0,3600523.0,76.423,5937.029525999999,albania,europe
24,1952.0,9279525.0,43.077,2449.008185,algeria,africa
25,1957.0,10270856.0,45.685,3013.976023,algeria,africa
26,1962.0,11000948.0,48.303000000000004,2550.81688,algeria,africa
27,1967.0,12760499.0,51.407,3246.991771,algeria,africa
28,1972.0,14760787.0,54.518,4182.663766,algeria,africa
29,1977.0,17152804.0,58.013999999999996,4910.4167560000005,algeria,africa
30,1982.0,20033753.0,61.368,5745.160213,algeria,africa
31,1987.0,23254956.0,65.79899999999999,5681.358539,algeria,africa
32,1992.0,26298373.0,67.744,5023.216647,algeria,africa
33,1997.0,29072015.0,69.152,4797.295051,algeria,africa
34,2002.0,31287142.0,70.994,5288.040382,algeria,africa
35,2007.0,33333216.0,72.301,6223.367465,algeria,africa
36,1952.0,4232095.0,30.015,3520.610273,angola,africa
37,1957.0,4561361.0,31.999000000000002,3827.9404649999997,angola,africa
38,1962.0,4826015.0,34.0,4269.276742,angola,africa
39,1967.0,5247469.0,35.985,5522.776375,angola,africa
40,1972.0,5894858.0,37.928000000000004,5473.288004999999,angola,africa
41,1977.0,6162675.0,39.483000000000004,3008.647355,angola,africa
42,1982.0,7016384.0,39.942,2756.953672,angola,africa
43,1987.0,7874230.0,39.906,2430.208311,angola,africa
44,1992.0,8735988.0,40.647,2627.8456850000002,angola,africa
45,1997.0,9875024.0,40.963,2277.140884,angola,africa
46,2002.0,10866106.0,41.003,2773.287312,angola,africa
47,2007.0,12420476.0,42.731,4797.231267,angola,africa
48,1952.0,17876956.0,62.485,5911.315053,argentina,americas
49,1957.0,19610538.0,64.399,6856.856212000001,argentina,americas
50,1962.0,21283783.0,65.142,7133.166023000001,argentina,americas
51,1967.0,22934225.0,65.634,8052.953020999999,argentina,americas
52,1972.0,24779799.0,67.065,9443.038526,argentina,americas
53,1977.0,26983828.0,68.48100000000001,10079.026740000001,argentina,americas
54,1982.0,29341374.0,69.942,8997.897412,argentina,americas
55,1987.0,31620918.0,70.774,9139.671389,argentina,americas
56,1992.0,33958947.0,71.868,9308.41871,argentina,americas
57,1997.0,36203463.0,73.275,10967.28195,argentina,americas
58,2002.0,38331121.0,74.34,8797.640716,argentina,americas
59,2007.0,40301927.0,75.32,12779.379640000001,argentina,americas
60,1952.0,8691212.0,69.12,10039.595640000001,australia,oceania
61,1957.0,9712569.0,70.33,10949.64959,australia,oceania
62,1962.0,10794968.0,70.93,12217.226859999999,australia,oceania
63,1967.0,11872264.0,71.1,14526.12465,australia,oceania
64,1972.0,13177000.0,71.93,16788.62948,australia,oceania
65,1977.0,14074100.0,73.49,18334.197509999998,australia,oceania
66,1982.0,15184200.0,74.74,19477.009280000002,australia,oceania
67,1987.0,16257249.0,76.32,21888.889030000002,australia,oceania
68,1992.0,17481977.0,77.56,23424.76683,australia,oceania
69,1997.0,18565243.0,78.83,26997.936569999998,australia,oceania
70,2002.0,19546792.0,80.37,30687.75473,australia,oceania
71,2007.0,20434176.0,81.235,34435.367439999995,australia,oceania
72,1952.0,6927772.0,66.8,6137.076492,austria,europe
73,1957.0,6965860.0,67.48,8842.59803,austria,europe
74,1962.0,7129864.0,69.54,10750.721109999999,austria,europe
75,1967.0,7376998.0,70.14,12834.6024,austria,europe
76,1972.0,7544201.0,70.63,16661.6256,austria,europe
77,1977.0,7568430.0,72.17,19749.4223,austria,europe
78,1982.0,7574613.0,73.18,21597.083619999998,austria,europe
79,1987.0,7578903.0,74.94,23687.82607,austria,europe
80,1992.0,7914969.0,76.04,27042.01868,austria,europe
81,1997.0,8069876.0,77.51,29095.920660000003,austria,europe
82,2002.0,8148312.0,78.98,32417.607689999997,austria,europe
83,2007.0,8199783.0,79.829,36126.4927,austria,europe
84,1952.0,120447.0,50.93899999999999,9867.084765000001,bahrain,asia
85,1957.0,138655.0,53.832,11635.79945,bahrain,asia
86,1962.0,171863.0,56.923,12753.27514,bahrain,asia
87,1967.0,202182.0,59.923,14804.6727,bahrain,asia
88,1972.0,230800.0,63.3,18268.65839,bahrain,asia
89,1977.0,297410.0,65.593,19340.10196,bahrain,asia
90,1982.0,377967.0,69.05199999999999,19211.14731,bahrain,asia
91,1987.0,454612.0,70.75,18524.02406,bahrain,asia
92,1992.0,529491.0,72.601,19035.579169999997,bahrain,asia
93,1997.0,598561.0,73.925,20292.01679,bahrain,asia
94,2002.0,656397.0,74.795,23403.559269999998,bahrain,asia
95,2007.0,708573.0,75.635,29796.048339999998,bahrain,asia
96,1952.0,46886859.0,37.484,684.2441716,bangladesh,asia
97,1957.0,51365468.0,39.348,661.6374577,bangladesh,asia
98,1962.0,56839289.0,41.216,686.3415537999999,bangladesh,asia
99,1967.0,62821884.0,43.453,721.1860862000001,bangladesh,asia
100,1972.0,70759295.0,45.251999999999995,630.2336265,bangladesh,asia
101,1977.0,80428306.0,46.923,659.8772322000001,bangladesh,asia
102,1982.0,93074406.0,50.00899999999999,676.9818656,bangladesh,asia
103,1987.0,103764241.0,52.818999999999996,751.9794035,bangladesh,asia
104,1992.0,113704579.0,56.018,837.8101642999999,bangladesh,asia
105,1997.0,123315288.0,59.412,972.7700352,bangladesh,asia
106,2002.0,135656790.0,62.013000000000005,1136.3904300000002,bangladesh,asia
107,2007.0,150448339.0,64.062,1391.253792,bangladesh,asia
108,1952.0,8730405.0,68.0,8343.105126999999,belgium,europe
